"","HC_148","HC_025","HC_061","HC_128","HC_064","HC_066","HC_069","HC_105","HC_108","HC_109","HC_110","HC_111","HC_063","HC_130","HC_131","HC_132","HC_020","HC_178","HC_176","HC_027"
"EEF1AKMT2",16.4522790109924,15.0599333835816,18.7625080403076,15.0935527300758,9.27130836850627,18.3035691993678,13.7265590677798,13.8293313108146,11.713172681187,14.1022891855329,11.6132043250395,11.1705262678243,13.5335828217797,11.8374608721525,11.7406629474999,14.8010222657775,9.37202453859897,16.3165481927471,11.7668102195601,17.3037015117839
"MACROD1",7.01471643666434,9.7571399386585,7.97287237336226,6.42278839577693,7.39059922243844,8.97465328485131,4.94081828420761,4.99741745095345,3.75832734950317,4.96346920204251,8.17334380344555,4.74194370032641,7.36707129411393,8.83363106820061,5.11772487455123,5.64607961431598,5.30019834343097,4.52243309828882,7.36247343346779,8.25497686800701
"GAL",0.230747251206064,0,0.143225252216089,1.26671660027823,0.646493768960817,1.48452911478743,0.371490096556963,1.22578163891311,0.168534858722115,0.536591265085676,0.0294005172785811,0.580646167386908,0.0363805989832787,0.988101909194699,1.16116446733515,0.797468872078529,0.363962118003843,0.618174308399191,0.0328681849708384,0.0396873887884952
"ME3",34.7505360316332,27.1200007611781,42.0604824007913,39.8748112904484,42.3453418669335,51.4861688446733,47.6064558737748,45.6367933256881,34.3642576934393,28.7244011591176,29.0624113298774,44.488556348835,46.2579316072388,35.4530965019058,38.3399304677515,46.2212958256715,38.1477794932778,48.8195026185782,42.4656949823232,26.8088311266285
"SMCO4",2.23824833669882,2.39383246942243,2.76902154284438,3.26491743451994,2.05702562851169,2.0580971818644,1.48596038622785,4.0230781995097,1.12918355343817,1.60977379525703,2.49904396867939,1.60368941468765,3.31063450747836,2.27263439114781,1.41920101563185,2.58379914553443,3.13917326778315,2.22868105922866,3.35255486702551,2.30186854973272
"VWA5A",20.9518504095106,12.9085143287842,24.8495812594914,20.7491747341349,34.2641697549233,30.871457727966,28.8462059976482,33.284686041256,21.269099170731,26.5948045758088,39.9112022056738,36.1797861917033,36.7625952726031,28.7340035193819,20.1053477214513,29.0757150759832,24.0214997882537,29.0216570048462,17.5187425894568,24.7847742984153
"SPSB2",3.83040437002066,3.51499451206331,3.60450218077156,3.24707635564278,3.27654796541505,2.56418665281466,4.25356160557723,2.9858783511986,2.76397168304269,4.10827687331221,2.51374422731868,2.00461176835956,2.65578372577934,4.05121782769827,1.09665533026098,2.39240661623559,2.79795878215455,3.62770712560578,5.75193236989671,4.167175822792
"CLEC2B",1.06143735554789,3.63620121937584,4.24901581574396,3.92503735297479,3.49694356846988,1.75444349929424,0.724405688286078,1.60294522011714,1.65164161547673,1.86130095076594,5.95360474891267,1.18894215226843,2.98320911662885,7.50957450987972,0.989140101804019,0.797468872078529,5.61866519668433,1.75691645545033,3.6812367167339,3.96873887884952
"BHLHE41",95.4832125490693,87.2991309418482,126.921444338824,92.8092923189767,135.984087084826,98.7717950804595,106.561934197365,114.217704507955,115.817154913838,170.501874480974,150.83935389776,114.027847347791,139.537787400365,99.6401965231935,96.0541051034468,99.2689251963352,61.7370742664019,103.999693515685,81.8089123924167,153.054414862832
"KRT18",0.32304615168849,0.515128506078244,0.572901008864354,7.26131910300336,4.49607030231841,2.58105630184634,1.37451335726076,4.00736305029286,0.387630175060866,0.435980402882112,1.38182431209331,0.594471076134215,2.07369414204688,2.90501961303242,0.645091370741752,0.446582568363976,2.02453928139638,1.93586164998694,4.70015045082989,1.07155949728937
"HOXC10",0.0922989004824256,0.181810060968792,0,0,0,0,0.0371490096556963,0,0,0,0,0,0,0,0,0,0.204728691377162,0,0,0
"ACSS3",34.058294278015,33.9984814011641,31.3663302353234,23.7107938277432,34.9547426444951,40.3859397818309,20.1161887285595,27.8472444122312,28.836314327354,26.1755926499607,44.2918792801824,27.5806929508781,21.7555981920006,25.0582644171776,12.4502634553158,28.2144486941383,23.9077616263775,31.2178025741592,24.815479652983,30.6981952279011
"RFLNA",2.76896701447277,3.21197774378199,2.55418366452025,3.22923527676562,2.39496555319576,3.20523331601833,3.52915591729115,3.20589044023429,2.12353921989865,1.84453247373201,2.83714991738308,2.10138612959071,2.76492552272918,2.9643057275841,3.1179416252518,2.95063482669056,4.57227410742328,4.01813300459474,4.96309593059659,4.98076729295615
"TMEM132B",197.796543733838,221.050732461223,227.656538397473,132.166712321988,168.852418020403,223.573458616794,183.701852747418,206.057036531137,176.860480742988,143.253099300842,113.030288677505,202.935835501724,158.637601866587,181.751465177273,218.771986864219,221.760143947597,112.282313404186,203.265473248629,97.4870366235066,148.192709736241
"LINC00327",1.49985713283942,1.27267042678154,0.978705890143272,0.820689628349275,1.4986901007728,1.04591823996387,1.35593885243291,1.11577559439527,1.49996024262683,0.553359742119604,0.896715776996724,1.3271912397415,0.763992578648852,0.533575030965138,1.72024365531134,1.00481077881895,0.887157662634368,0.878458227725167,0.493022774562575,1.28984013562609
"FOXO1",29.7433206804616,25.2109951210058,25.4463531437251,30.4011984066775,26.6090958088191,29.3194500170518,23.3481525686051,26.2600143413309,21.2859526566032,26.3432774202999,29.9738273655134,22.4516518056271,38.4724834248172,30.571873070484,17.7400126953982,22.3610271730819,26.0232914372748,26.353746831755,29.7128392136379,43.3386285570368
